repository,repository_name,url,isFork,commits,branches,defaultBranch,releases,contributors,license,watchers,stargazers,forks,size,createdAt,pushedAt,updatedAt,homepage,mainLanguage,totalIssues,openIssues,totalPullRequests,openPullRequests,lastCommit,lastCommitSHA
jquery/jquery-ui,jquery-ui,https://github.com/jquery/jquery-ui.git,false,7294,9,main,3,329,Other,649,11128,5374,28214,2010-01-19T02:40:34,2023-05-11T10:48:57,2023-05-18T01:22:26,https://jqueryui.com,JavaScript,114,58,2017,39,2023-05-11T10:48:38,1be45388176080418aef84f3c98fda2c10fcdc42
summernote/summernote,summernote,https://github.com/summernote/summernote.git,false,3541,7,develop,60,298,MIT License,301,11121,2225,18920,2013-04-27T04:59:48,2023-05-17T09:37:34,2023-05-29T06:42:13,https://summernote.org,JavaScript,3358,32,1110,4,2023-03-25T09:39:53,9b33ce6e661b67d7963fb991739d05f8d8b9aefc
stylus/stylus,stylus,https://github.com/stylus/stylus.git,false,4107,11,dev,9,179,MIT License,343,11083,1150,7257,2010-12-28T10:11:43,2023-05-22T08:56:58,2023-05-28T11:24:00,https://stylus-lang.com,JavaScript,2022,236,717,21,2023-05-11T09:53:56,21f048d893baa85772920caa6e55cb85f3df05db
spencermountain/compromise,compromise,https://github.com/spencermountain/compromise.git,false,5777,3,master,63,91,MIT License,166,10706,677,55374,2011-07-05T09:04:38,2023-05-09T06:15:25,2023-05-18T08:52:29,http://compromise.cool,JavaScript,635,81,351,0,2023-05-07T05:13:06,2a02326f2ac4f45fb2067895c82681931f78d5de
restify/node-restify,node-restify,https://github.com/restify/node-restify.git,false,1723,76,master,11,190,MIT License,244,10608,1022,4410,2011-04-25T09:19:26,2023-05-16T10:26:04,2023-05-28T08:02:17,http://restify.com,JavaScript,1101,92,854,17,2023-04-12T09:57:53,89e7ac81a4cc885d153df6f07d5cf35ed75fd4d0
adambard/learnxinyminutes-docs,learnxinyminutes-docs,https://github.com/adambard/learnxinyminutes-docs.git,false,8966,4,master,0,366,Other,264,10607,3164,25606,2013-06-26T05:58:34,2023-05-29T01:16:34,2023-05-31T08:23:57,https://learnxinyminutes.com/,JavaScript,752,144,3882,188,2023-05-26T09:26:14,c6f6dac5f8f9af8a674ae6ce19849a865fdf3388
yargs/yargs,yargs,https://github.com/yargs/yargs.git,false,1817,77,main,56,267,MIT License,78,10473,1044,5022,2013-11-07T05:25:51,2023-05-23T04:40:38,2023-05-31T04:56:29,https://yargs.js.org/,JavaScript,1209,292,1097,11,2023-05-01T03:09:39,e517318cea0087b813f5de414b3cdec7b70efe33
vega/vega,vega,https://github.com/vega/vega.git,false,6367,51,main,137,126,BSD 3-Clause New or Revised License,279,10414,1479,98328,2013-02-03T06:36:30,2023-05-10T08:39:16,2023-05-18T12:04:37,https://vega.github.io/vega,JavaScript,1861,410,1867,28,2023-05-10T08:37:45,b45cf431cd6c0d0c0e1567f087f9b3b55bc236fa
josdejong/jsoneditor,jsoneditor,https://github.com/josdejong/jsoneditor.git,false,1705,5,develop,0,84,Apache License 2.0,230,10342,1986,55478,2012-04-19T01:05:41,2023-05-15T07:57:28,2023-05-18T07:09:45,http://jsoneditoronline.org,JavaScript,1020,194,485,16,2023-05-15T07:54:50,2ab36caf14224c899678b5eb266892384df59dd6
svgdotjs/svg.js,svg.js,https://github.com/svgdotjs/svg.js.git,false,1473,4,master,32,72,Other,274,10270,1071,11118,2012-12-15T10:26:54,2023-05-10T07:59:25,2023-05-18T11:28:42,https://svgjs.dev,JavaScript,1044,100,254,7,2023-05-10T07:59:25,b4636e04038897e3deefff9e680ed52de283ff02
naturalnode/natural,natural,https://github.com/naturalnode/natural.git,false,1411,30,master,40,117,MIT License,247,10208,882,13978,2011-05-07T02:35:16,2023-05-29T05:57:16,2023-06-06T08:34:46,,JavaScript,354,83,329,1,2023-05-29T05:51:03,c2389f2a17faae9582a1a0f41402c68407ccb378
fredriknoren/ungit,ungit,https://github.com/fredriknoren/ungit.git,false,3946,10,master,24,87,MIT License,247,10199,673,21313,2013-05-19T10:44:44,2023-05-09T12:20:51,2023-05-05T06:25:23,,JavaScript,799,196,759,21,2023-04-11T12:07:49,9c719c1ff21220d2a03025e94ea46b67f443ca29
paulmillr/chokidar,chokidar,https://github.com/paulmillr/chokidar.git,false,1579,5,master,13,100,MIT License,91,9937,590,1707,2012-04-20T07:17:49,2023-05-26T12:14:47,2023-05-30T10:28:47,https://paulmillr.com,JavaScript,904,109,354,10,2023-05-26T12:14:42,08318d62f1fa731122d2b8853400f1b3252db8c9
novnc/novnc,novnc,https://github.com/novnc/novnc.git,false,2344,4,master,13,122,Other,306,9816,2034,10347,2010-04-07T01:55:44,2023-05-11T10:20:44,2023-05-18T12:14:42,https://novnc.com,JavaScript,1236,56,527,12,2023-05-11T10:20:18,c2d6a06d6df7dcc5cda9567181c685cd1b84d750
